%% LaTeX2e file `humidity.dat'
%% generated by the `filecontents' environment
%% from source `paper' on 2021/11/29.
%%
 date    value
 2021-07-28  54.69
 2021-07-29  42.08
 2021-07-30  46.06
 2021-07-31  44.47
 2021-08-01  43.56
 2021-08-02  38.37
 2021-08-03  40.96
 2021-08-04  46.00
 2021-08-05  43.24
 2021-08-06  45.65
 2021-08-07  48.92
 2021-08-08  50.38
 2021-08-09  48.53
 2021-08-10  47.99
 2021-08-11  47.73
 2021-08-12  47.83
 2021-08-13  47.81
 2021-08-14  49.15
 2021-08-15  50.22
 2021-08-16  48.00
 2021-08-17  42.75
 2021-08-18  42.67
 2021-08-19  43.61
 2021-08-20  44.31
 2021-08-21  44.15
 2021-08-22  45.91
 2021-08-23  42.48
 2021-08-24  42.72
 2021-08-25  44.97
 2021-08-26  49.13
 2021-08-27  49.90
 2021-08-28  43.76
 2021-08-29  46.29
 2021-08-30  50.68
 2021-08-31  55.90
 2021-09-06  50.43
 2021-09-07  53.11
 2021-09-12  54.25
 2021-10-27  -7.94
 2021-11-04  23.80
 2021-11-05  14.48
 2021-11-26  63.78
 2021-11-27  65.44
 2021-11-28  58.14
