%% LaTeX2e file `pm10.dat'
%% generated by the `filecontents' environment
%% from source `paper' on 2021/11/29.
%%
 date    value
 2021-07-28  11.46
 2021-07-29  11.79
 2021-07-30  8.05
 2021-07-31  6.63
 2021-08-01  3.99
 2021-08-02  2.77
 2021-08-03  2.21
 2021-08-04  4.52
 2021-08-05  3.24
 2021-08-06  3.39
 2021-08-07  3.21
 2021-08-08  2.86
 2021-08-09  2.38
 2021-08-10  3.26
 2021-08-11  4.75
 2021-08-12  5.97
 2021-08-13  4.00
 2021-08-14  6.27
 2021-08-15  7.14
 2021-08-16  6.17
 2021-08-17  5.01
 2021-08-18  2.22
 2021-08-19  3.50
 2021-08-20  3.30
 2021-08-21  4.23
 2021-08-22  5.17
 2021-08-23  4.50
 2021-08-24  2.29
 2021-08-25  55.61
 2021-08-26  2.47
 2021-08-27  3.14
 2021-08-28  1.53
 2021-08-29  2.02
 2021-08-30  3.62
 2021-08-31  6.37
 2021-09-06  6.32
 2021-09-07  6.46
 2021-09-12  13.20
 2021-10-27  7.72
 2021-11-04  5.71
 2021-11-05  9.08
 2021-11-26  47.56
 2021-11-27  71.31
 2021-11-28  75.73
