%% LaTeX2e file `pressure.dat'
%% generated by the `filecontents' environment
%% from source `paper' on 2021/11/29.
%%
 date    value
 2021-07-28  963.36
 2021-07-29  986.89
 2021-07-30  992.26
 2021-07-31  988.81
 2021-08-01  987.32
 2021-08-02  993.13
 2021-08-03  994.18
 2021-08-04  991.68
 2021-08-05  987.84
 2021-08-06  976.90
 2021-08-07  988.28
 2021-08-08  991.60
 2021-08-09  997.41
 2021-08-10  998.26
 2021-08-11  997.68
 2021-08-12  1000.36
 2021-08-13  1001.66
 2021-08-14  999.81
 2021-08-15  995.14
 2021-08-16  990.11
 2021-08-17  992.86
 2021-08-18  994.69
 2021-08-19  995.05
 2021-08-20  996.10
 2021-08-21  998.23
 2021-08-22  996.57
 2021-08-23  994.53
 2021-08-24  996.18
 2021-08-25  985.44
 2021-08-26  989.27
 2021-08-27  990.12
 2021-08-28  992.93
 2021-08-29  992.42
 2021-08-30  990.04
 2021-08-31  950.99
 2021-09-06  979.10
 2021-09-07  983.62
 2021-09-12  951.96
 2021-10-27  896.19
 2021-11-04  970.16
 2021-11-05  939.34
 2021-11-26  943.68
 2021-11-27  975.83
 2021-11-28  976.23
