%% LaTeX2e file `smoke.dat'
%% generated by the `filecontents' environment
%% from source `paper' on 2021/11/29.
%%
 date    value
 2021-07-28  265.80
 2021-07-29  251.41
 2021-07-30  320.27
 2021-07-31  322.14
 2021-08-01  320.29
 2021-08-02  308.22
 2021-08-03  304.27
 2021-08-04  316.26
 2021-08-05  318.90
 2021-08-06  319.88
 2021-08-07  307.35
 2021-08-08  298.59
 2021-08-09  296.50
 2021-08-10  298.21
 2021-08-11  305.42
 2021-08-12  310.88
 2021-08-13  314.72
 2021-08-14  318.80
 2021-08-15  313.93
 2021-08-16  314.94
 2021-08-17  309.83
 2021-08-18  327.04
 2021-08-19  338.89
 2021-08-20  347.23
 2021-08-21  343.75
 2021-08-22  350.17
 2021-08-23  341.79
 2021-08-24  344.33
 2021-08-25  320.72
 2021-08-26  246.83
 2021-08-27  241.26
 2021-08-28  224.18
 2021-08-29  246.80
 2021-08-30  231.08
 2021-08-31  263.11
 2021-09-06  283.89
 2021-09-07  219.76
 2021-09-12  310.62
 2021-10-27  427.16
 2021-11-04  324.85
 2021-11-05  303.40
 2021-11-26  222.12
 2021-11-27  188.97
 2021-11-28  179.61
