%% LaTeX2e file `temperature.dat'
%% generated by the `filecontents' environment
%% from source `paper' on 2021/11/29.
%%
 date    value
 2021-07-28  33.37
 2021-07-29  34.96
 2021-07-30  29.85
 2021-07-31  30.45
 2021-08-01  30.04
 2021-08-02  29.47
 2021-08-03  28.84
 2021-08-04  27.83
 2021-08-05  28.33
 2021-08-06  23.77
 2021-08-07  21.51
 2021-08-08  21.27
 2021-08-09  21.61
 2021-08-10  21.64
 2021-08-11  22.18
 2021-08-12  22.77
 2021-08-13  23.00
 2021-08-14  23.43
 2021-08-15  24.00
 2021-08-16  24.06
 2021-08-17  23.01
 2021-08-18  22.73
 2021-08-19  22.70
 2021-08-20  22.92
 2021-08-21  23.16
 2021-08-22  22.96
 2021-08-23  22.13
 2021-08-24  22.51
 2021-08-25  22.46
 2021-08-26  23.91
 2021-08-27  24.82
 2021-08-28  24.67
 2021-08-29  24.04
 2021-08-30  19.81
 2021-08-31  18.88
 2021-09-06  18.17
 2021-09-07  17.98
 2021-09-12  17.30
 2021-10-27  15.84
 2021-11-04  17.24
 2021-11-05  14.42
 2021-11-26  5.97
 2021-11-27  6.65
 2021-11-28  6.36
